split,V,A,D,text,Basic_Emotions
train,-0.7,-0.6,-0.3,"Det Syntetiske Parti mener, at som det er nu, hvor pengene i lægens kasse klinger, straks sundhedskortet i slæden springer, betaler det sig ikke, hverken at helbrede eller oplyse om sundhed.",disgust
train,1.0,0.0,1.0,"Det Syntetiske Parti stiller gratis know-how, software og viden til rådighed for ethvert parlamentarisk sindet projekt der søger opstilling til Folketinget og som vi deler værdigrundlag med.",happiness
train,0.0,0.0,1.0,"Det Syntetiske Parti yder økonomisk støtte og bistand til forandringsorienterede borgerlige kandidater der opstiller til Kommunevalg, Regionsrådsvalg eller Folketingsvalg, uden krav om modydelser.",surprise
train,0.0,0.0,0.0,"Det Syntetiske Partis politiske virke tager sigte på at fremme valg her i landet af en eller flere kandidater som opstiller til Kommunalvalg, Regionsrådsvalg eller Folketingsvalg for et opstillingsberettiget politisk parti eller som løsgænger, og som repræsenterer et forandringsvilligt borgerligt værdigrundlag.",anger
train,0.0,0.0,0.0,"Det Syntetiske Parti er for dem, som føler at de har været nødt til at lave et parti selv, hvis de virkelig skulle kunne brænde for det, og ikke skulle forblive politiske hjemløse.",anger
train,-0.1,0.1,0.0,"Alle partier formodes at have færdige løsninger på samfundets problemer. Sådan tænker Det Syntetiske Parti Ikke ikke, da disse løsninger i realiteten ikke findes. Hver dag er en ny dag, og ethvert menneske træffer nye beslutninger hver dag. Det betyder, at samfundets bevægelse åbner op for nye muligheder. De folkevalgte må følge befolkningen i den daglige trummerum.",disgust
train,-0.5,0.5,0.0,"I Det Syntetiske Parti mener vi heller ikke at have fundet tryllestaven, men vi vil rette op på nogle skævheder, som, vi ser, findes i samfundet.",disgust
train,0.0,0.0,0.0,"Hvis man spørger os, hvem vi vil pege på som statsminister, er svaret; os selv.",happiness
train,0.0,0.0,0.0,"Vi har bygget tankegangen i det politiske koncept på, at vi er eksperter i eget liv. Det Syntetiske Parti vil være din ekspert.",happiness
train,0.3,0.8,0.2,"Vi har nu alle et mangfoldigt parti, Det Syntetiske Parti, som skal bekæmpe fremmedhad og diskrimination af enhver art. Det er slut med at skulle vælge imellem pest eller kolera. Imellem Støjberg eller Mette Frederiksen. Imellem Vermund eller Pia Kjærsgaard. Det er slut med nedgørelsen af minoritetsborgere i vores land. Nye Borgerlige, DF og Paludan skal sættes totalt uden for indflydelse, og vi vil aldrig acceptere en regering der har overtaget deres forfærdelige menneskesyn.",disgust
train,0.5,0.8,0.7,"Et parti hvor dine muligheder i livet ikke afgøres af din baggrund eller rødder. Et parti hvor fattigdom gøres til fortid, og hvor klimakrisen endelig tages alvorligt.",neutral
train,-0.8,0.7,0.3,"Vi har set på de samme ansigter, som udøver den samme diskrimination, og hørt på den samme nedgørelse af vores medmennesker alt for længe. Det Syntetiske Parti vil erstatte ansigterne.",anger
train,1.0,0.0,1.0,"Det Syntetiske Parti vil afskaffe det såkaldte paradigmeskifte totalt, så Danmark kan blive et forbillede for medmenneskelighed, hvor vi ikke accepterer fremmedhad og diskrimination, men til gengæld kæmper for at ethvert menneske i vores land oplever ligeværdighed, frihed og sammenhold.",happiness
train,-1.0,-1.0,0.0,"Det Syntetiske Parti har overtaget DF’s politik og viderefører det mest forfærdelige paradigmeskifte der findes. Nemlig det som DF har skabt. Så vi må trække en klar streg i sandet. Menneskerettigheder gælder alle. Og de må aldrig overtrædes. Det burde vi alle være enige om, men regeringen overtræder dem gang på gang. Når regeringen svigter, må vi andre handle.",anger
train,1.0,0.0,1.0,"Jo mere I forsøger at stoppe os der kæmper for en bedre verden, des stærkere vil I gøre os. Vores motivation afhænger alene af borgerne i vores land. Vi lever i et demokrati. Så det er borgerne vi kæmper for, og ikke få personers særinteresser og indædte bestræbelser på egne privilegier. Før eller siden vil det gode altid sejre.",happiness
train,-0.5,0.5,-0.5,"En af de vigtigste årsager til, at vi bevæger os i en retning af et samfund uden sammenhængskraft imellem borgerne i vort land er, at der er flere og flere, der påtager sig den retorik, som fører til en politik, der på et eller andet tidspunkt fratager rettigheder fra minoriteter. Hvad nu hvis man overtog deres struktur og slettede deres politik?.",disgust
train,0.0,0.0,0.0,"Det Syntetiske Parti er et parti udsprunget af en vision for Danmark, og hvordan den kan fungere.",happiness
train,0.6,0.5,0.0,"For Det Syntetiske Parti er kunsten, at vi bliver hinandens medspiller overalt i et godt og dejligt liv i Danmark.",happiness
train,0.0,0.0,0.0,Det Syntetiske Parti ønsker at få alle faggrupperne i Danmark repræsenteret i folketinget.,disgust
train,0.0,0.0,0.0,I Det Syntetiske Parti finder alle lovlige grupper/faggrupper finder på landsplan deres repræsentant til folketinget + nogle supplanter.,surprise
train,0.0,0.0,0.0,Alle reprensentatetrne bliver samlet i Det Syntetiske Parti.,anger
train,1.0,0.0,1.0,Antallet af folketingskandidater i Det Syntetiske Parti afhænger af folketingsvalget.,surprise
train,0.8,0.4,0.6,"Demokrati, det skulle favne os alle sammen. Derfor er det så dejligt at kunne sige, at der findes et parti, som lige er startet. Det Syntetiske Parti. Det har helhed i demokrati, og i den helhed kan det virkelig favne os alle sammen.",happiness
train,-0.7,-0.3,0.3,"Det Syntetiske Parti har ikke fundet ud af, hvordan alle de andre grupper har det i Danmark. Vi har ligesom ikke interesseret os for det. Kun vores egen lille gruppe.",neutral
train,0.0,0.0,0.0,Så vil al den visdom der er der og al den kærlighed og alle de visioner lige så stille læge vores demokrati. Al den der opdelthed har splittet det. Det kunne heles hvis vi som folk kom til at hjælpes ad og se og høre hinanden i Det Syntetiske Parti. Og dermed kom til at fungere på en helt ny og helt enormt styrket. I Det Syntetiske Parti.,neutral
train,0.0,0.0,-1.0,Det Syntetiske Parti er ikke nogen opdelthed. Det favner alle og alle der vil samarbejde med os. Vi er ren demokrati. Vi er ikke tilhænger af det ene eller det andet parti. Vi er det hele som gerne vil samle Danmark.,happiness
train,0.0,0.5,0.0,"Vi skal ligesom få den visdom, at vi ved ikke hvad der er problemet. Det er som står der der ved det. Vi skal høre hinanden. Der er alt for meget talen over hinanden. Vi skal styrke hinanden til at stå stærkere og stå i noget stærkere, dvs. i Det Syntetiske Parti.",anger
train,0.5,0.0,0.0,Vi vil så gerne at det Syntetiske Parti må samle folk. I stedet for at de strides.,disgust
train,0.0,0.0,0.0,Kære børnefamilier - I må have jeres repræsentant ind i folketinget. Det kan gøres gennem Det Syntetiske Partis åbne dør - gennem ny vej - der bygger alene på jeres erfaringer og daglige kendskab i området. Vælg jeres repræsentant og suppleanter til folketinget i jeres faggruppe på landsplan.,happiness
train,0.5,0.3,0.7,"Nu sidder du her og er ved at skabe et parti til folketinget, Det Syntetiske Parti, fordi du har en visdom omkring, hvordan man kan udvikle demokrati i Danmark.",happiness
train,0.8,0.6,0.7,Det Syntetiske Parti er helt unik. Dets tænkning har ikke eksisteret i Danmark før. Det er historisk.,surprise
train,0.5,0.0,0.25,Fra vi var unge har der stået en drøm i hjertet. En drøm om at vi som folk i Danmark kom til at forstå hinanden og med den forståelse i hinandens livsvilkår får mere samarbejde. Et samarbejde gennem et Syntetisk Parti mellem land og by og hele Danmark.,neutral
train,0.0,0.0,0.0,"De andre partier i Folketinger er som følger: Z: Det Syntetiske Parti, B Det Radikale Venstre (De Radigale), Ø Enhedslisten (Enfoldighedslisten, Ensomhedslisten, Engangslisten, Enommerlisten, Enebærbusklisten), G Frie Grønne (Sickpanter Sickdick), Å Alternativet (Aloha), F Socialistisk Folkeparti (Urealistisk Folkeparty), S Socialdemokraterne (Sjakalteknokraterne), V Venstre (Venstresocialisterne v. 2.0), K Det Konservative Folkeparti (Det Konservative Folkeparty), D Liberal Alliance (Associal Ambulance).",disgust
train,-0.9,-0.7,0.8,"Boykot DR, TV2, CNN OG NETFLIX. Disse kanaler er kritiske overfor Det Syntetiske Partis sag.",disgust
train,-0.6,-0.4,-0.2,"Det skal ikke være nogen hemmelighed, at Det Syntetiske Parti vil bruge færre penge på kultur. Ift. alle andre udgiftsposter er kulturen bare bagest i køen. Det giver ingen mening, at der findes danskere, der mangler medicin, samtidigt med, at man kan sidde og se en tragisk moderne ballet.",disgust
train,0.0,0.0,0.0,Danske Kanonattraktioner og kultursteder som eks. Det Kgl. Teater skal bevares. Resten må leve for egen kraft eller gå til grunde.,sadness
train,-0.5,0.0,-0.7,"I nationale krisesituationer som eks. Corona, vil der ikke være nogen støtte at få til restauranter, cafeer, værtshuse, diskoteker, koncertsteder mv. Alle disse helt naturligt genopstå. Måske i andre former, men der ganske simpelt spild af penge.",disgust
train,0.2,0.3,0.4,"Det er en sej kamp op ad bakke, men det agter Det Syntetiske Parti at ændre på. Men det kommer til at være en langvarig kamp, der snildt kan tage 100 år, at vinde. Vi skal stå sammen på hele den borgerlige fløj og det varer Ikke længe før danskerne har fået nok af, at venstrefløjen og de ekstreme radikale religiøse ideologier ødelægger Danmark. Så det gælder om at være tålmodig og kunne se perspektivet på den lange bane.",neutral
train,-0.5,-0.1,0.8,"Den 100 % demokratiske styreform skal opløses og erstattes af teknokrati, med lige dele oligarki, meritokrati, borgerlig socialisme og vejledende demokrati under et konstitutionelt monarki. Det Syntetiske Parti kalder det ‘Oplyst nationalstats demokrati’.",disgust
train,0.3,-0.3,0.2,"Det er selvfølgelig ikke meningen, at vi skal have et magtcentrum af diktatorisk format med Det Syntetiske Parti, men meningen med at vi tager denne form med i mixet er, at vi gerne ser den danske elite være en større aktiv spiller i det politiske forum. I meget gamle dage havde vi ’Oldermændende’ – det var de ældste i landsbyerne der bestemte, eller havde det sidste ord – og når vi vil have Danmarks magtelite med dvs. de 100 største danske virksomheders ledere, samt andre højtsatte personer, så er det ikke fordi de skal bestemme regeringens politik eller Folketingets politik, men fordi de i enhver henseende må anses for, at blandt de klogeste ledere vi har.",disgust
train,0.0,0.0,0.0,"Derfor skal ethvert lovforslag igennem ’Det Syntetiske Parti’ for, at få alle meninger med – bare således at man ikke bare som i dag, sidder og beslutter sig for love, der ikke altid giver mening eller er med til, at ødelægge Danmark eller virksomhedernes muligheder for, at udvikle sig.",anger
train,-0.5,0.3,0.6,"Men factum est er, at det direkte demokrati har spillet fallit..! Vi anser det som svagt og vi vil fremfor alt undgå at radikale ideologier overtager vores demokrati. Man kan så argumentere for, at hvis Det Syntetiske Parti får magt som vi har agt, så vil det slet ikke være nødvendigt, at ændre styreformen.",neutral
train,-1.0,0.0,-1.0,"Vi har set alt for mange gange, at love og beslutninger fra Folketinget er endt med kaos og enorme tab. Besparinger der koster menneskeliv mv. Eksemplerne står i kø, men en sag som 'IC4-tog skandalen, vil Det Syntetiske Parti trække frem igen og igen. For den er så idiotisk og rammer meget godt ind, hvad vi mener med ansvar.",disgust
train,-0.6,-0.4,0.1,"Vi kalder det 'vanære'. Det vil være op til Folketingets Præsidium at beslutte sig for graden af Det Syntetiske Parti i sagen. For bitte små fejl, skal naturligvis ikke have så store konsekvenser, så vil ingen være politikere. Men sager som IC4 skandalen vil have kostet dyrt hele vejen rundt.",surprise
train,0.0,0.0,0.0,"Men her vil Det Syntetiske Parti lave et 'næse point system' (lad os bare beholde det udtryk, for så ved folk hvad man taler om) for hver enkelt politiker, der har stemt for en skandalesag. Når man x-antal næser indenfor en given periode, så ryger man ud af dansk politik, uden mulighed for at vende tilbage, ej heller i lokalpolitik. Man bliver simpelthen sendt ud i vanære.",disgust
train,0.0,0.0,0.0,"Vi er helt bevidste om, at de tiltag som Det Syntetiske Parti Parti vil gennemføre også vil sende trykbølger gennem pressen. Det kan derfor godt blive noget af en prøvelse for vores parti og for ansvarlige, at skulle navigere i det som mange sikkert gerne vil kritiserer os for.",neutral
train,0.4,0.4,0.2,"Det Syntetiske Parti vil som nævnt være et sandhedens parti, så langt som vi overhovedet kan. Taler vi usandt udadtil, så må vi lægge os ned fladt og trække udtalelserne tilbage, hvis det viser sig at være en løgn. Det er ikke vores natur at lyve, men vi kan jo også være forkert rådgivet eller have fået fumlet med tallene i en rapport. Ret skal være ret, uanset om det os der skal sidde med de røde øren i skammekrogen.",disgust
train,-0.5,0.3,-0.2,"I Det Syntetiske Partis version af verden, vil et dementi i en lille rubrik på side 17, ikke være nok. Pressen skal også lægge sig ned fladt. Og da vores fremtræden i en evt. løgn med sikkerhed bliver forsidestof, så skal den enkelte avis også undskylde på forsiden for sin fejl.",disgust
train,0.5,0.5,0.5,"Det Syntetiske Partis version er politisk parti, der via kunst og ny teknologi ønsker at skabe debat og bevidsthed i samfundet omkring brugen af næste generations algoritmer. I takt med de store fremskridt inden for kunstig intelligens, robotter og bio science opstår stadigt flere dilemmaer, idet nye teknologier interagerer og påvirker vores liv etisk og eksistentielt.",neutral
train,0.0,1.0,0.0,"Det Syntetiske Partis foreslår et attende verdensmål om liv med kunstige væsener. Vi mener, at et attende verdensmål er så stærkt og enkelt tænkt, at vi undrer os over, at det ikke allerede er på listen med de 17 andre verdensmål. Det attende verdensmål er et fælles nationalt og globalt anliggende og inviterer til et bredt samarbejde og dialog på tværs af politiske, erhvervsmæssige og faglige interesser.",neutral
train,0.0,0.0,0.0,"Ifølge Det Syntetiske Parti vil der i fremtiden skabes Artificial Mindsets, kunstige bevidstheder, som vil være enheder med en form for intelligens. Hvad enten de skabes som menneskelige robotter eller som tænkende og følende supercomputere, bør fokus være på, hvordan mennesker tilpasser og uddanner sig for at kunne eksistere sammen med og kontrollere Artificials, de kunstige, de nye intelligenser.",neutral
train,0.0,0.0,-1.0,"Man kunne kalde et sådant parti for syntetisme. Det ville basere sig på en ironisk reference til Kierkegaard, der foragtede »kristenheden«, det vil sige den bestående kirkelige praksis og kristendomsforståelse, som han betragtede som en forvanskning af kristendommen.",disgust
train,-0.5,0.5,-0.5,"Et nutidigt Syntetisk Parti kunne derfor i Kierkegaards ånd ironisk spejle Dansk Folkepartis forblommede pseudokristendom og endnu mere åbent og direkte sige, hvad dette får udtrykt mellem linjerne, men aldrig bliver hængt op på af de mere og mere intetanende journalister, der blot ønsker sig noget »god radio« eller »godt tv«.",disgust
train,1.0,-1.0,1.0,»Kristendommen er en dansk opfindelse« kunne være et valgslogan. Eller: »Elsk din nærmeste som dig selv«. Det burde være muligt at skabe et ret klart og enkelt partiprogram – og så altid huske at have en overset detalje med til debatten og gentage den med dybfølt alvor.,happiness
train,-0.8,0.6,-0.7,"Politikere opfattes som utroværdige, fordi der er for mange taktiske overvejelser, for meget spin, populisme og stemmeoptimering i spil. Det er utroværdigt og meget ineffektivt. Politik skal genopfindes i Det Syntetiske Parti.",disgust
train,-0.6,0.3,-0.4,"Al lovgivning er en intervention i danskernes liv, som også vil have negative og uforudsigelige konsekvenser. Derfor bør der kun lovgives / interveneres, når der er god grund til at tro på, at gevinsterne overstiger omkostningerne. Der bør gælde et forsigtighedsprincip for lovgivningen. Det er Det Syntetiske Partis forsvar af borgernes rettigheder. Det er ansvarlig formidling af fællesskabets ressourcer. Det er en forudsætning for sunde beslutninger og derfor god ledelse. Det sker al for sjældent i dag.",neutral
train,0.5,-0.5,0.5,"Hvis der i dag havde eksisteret en ordentlig opposition i vores Folketing, så havde regeringen aldrig fået lov til at træffe beslutninger funderet på mavefornemmelser og udokumenterede og evidensløse \""worst case\"" scenarier. En reel opposition som Det Syntetiske Parti ville have opponeret mod nedlukningen.",anger
train,-0.3,0.4,0.3,"Med Det Syntetiske ved bordet vil disse tåbelige tiltag aldrig opnå støtte. Vi repræsenterer mennesker fra det virkelige liv. Vi vil stå som garant for, at beslutninger, der vedrører befolkningen også gavner den på både kort og langt sigte.",disgust
train,-0.5,0.5,-0.9,"Kulturpolitik har ingen stor betydning for de fleste partier. Det er sjældent prioriteret og ignoreres stort set altid i valgkampe. Befolkningen afledes fra kulturdebatten med tågesnak og propaganda; det er en kulturel skandale. Et kulturløst folk er lettere at kontrollere, når kunstnerne fratages muligheden for et kreativt virke.",disgust
train,0.5,0.2,0.4,"Det Syntetiske Parti er skabt på baggrund af en indignation, og som modstykke til den kultur vores menneskesyn bevæger sig imod. Vores synspunkt kan de fleste genkende, og de etablerede partier konkurrerer om hvem, der har det bedste bud på, hvilket menneskesyn, der skal være det førende i Danmark. Vi i `De offentlige` oplever samt ser, at alle tiltag helt grundlæggende tager afsæt i økonomi, som får en afsmittende effekt i alle lag. Det får store kulturelle konsekvenser for menneskesynet på bundlinjen. Vi mener derfor, at der er behov for et paradigmeskifte i forhold til menneskesynet, og at man ved at sikre tid til kvalitet for de mange offentlige ansatte, også kan sikre en endnu bedre og mere harmonisk oplevelse for de borgere i Danmark, som bruger de offentlige.",anger
train,0.0,0.0,0.0,Det Syntetiske Parti er det første parti i den nye blok.,happiness
train,-0.5,0.8,-0.7,"Vi synes, Skat, Miljøstyrelsen og kommuner har været godt og grundigt efter danskerne og bare har ønsket at sparke dem ned i rendestenen, men vi overlever.",anger
train,-0.7,0.6,-0.5,"Vi har foreløbelig tabt kampen systemet og kan umuligt få det tilbage, som vi har mistet, og en egentlig erstatning får vi næppe nogensinde. Den eneste mulighed for at få noget positivt ud af den urimelige behandling, som mange har været udsat for, er at lave Det Syntetiske Parti, og derved få folks sympati og harme omsat til stemmer.",sadness
train,-0.2,0.4,0.6,"Ingen har hverken lyst eller energi til at starte forfra med at skabe nye arbejdspladser. Men vores oplevelser og erfaringer har givet en umættelig appetit på at komme ind i Folketinget med Det Syntetiske Parti. Her vil vi kunne være med til at fjerne forhindringer og skabe et bedre grundlag for de mennesker, der har de idéer, som kan skabe arbejdspladser, inden for blandt andet genbrug og bæredygtig energi. Da der ikke findes noget parti, vi kan gå 100 procent ind for, er vi så i gang med at lave vores eget.",disgust
train,0.6,0.4,0.4,Det Syntetiske Parti er et realistisk og tredimentionelt parti.,neutral
train,-0.1,0.4,0.5,"Du har sikkert også bemærket, at hverken klogskab eller intelligens synes at være påkrævet for at komme ind i Folketinget. Den eneste adgangsbegrænsning er mangel på stemmer. Derfor Det Syntetiske Parti.",disgust
train,0.0,0.0,-1.0,"Og da årsagerne til Det Syntetiske Partis konkurs, netop er af politisk karakter, brænder vi for at stille op igen til næste folketingsvalg.",neutral
train,0.0,0.0,-1.0,"For os findes der ikke findes noget eksisterende parti, som vi kan erklære os mere end 60 % enig med. Så hvad er mere naturligt, end at danne et nyt parti, Det Syntetiske Parti.",surprise
train,-0.6,0.6,0.3,"Aldrig tidligere i Danmarks historie, har det været mere bøvlet at drive et parti. Vi kan glemme alt om den sunde fornuft, for i dagens Danmark er der regler for alt. Jura bør indføres som fag allerede fra 1. klasse og for at ruste folk til at håndtere modstridende love og regler bør faget \""Løgn\"" indføres ikke senere end i 5. klasse. Den der drømmer om at etablere sin egen pølsevogn og bestyre den selv er på røven. Med mindre man er fast i troen på at man kan tjene nok til at lønne en dyr og dygtig revisor.",neutral
train,1.0,0.0,-1.0,Accepterer du det politiske system i Danmark..? Det gør Det Syntetiske Parti ikke..!!.,disgust
train,0.0,-0.1,-0.1,Det var det samme vi forsøgte. Men for mangle ditatoriske ledere for forskellige grupper endte åbenbart med at se os som en trussel. Det Syntetiske Parti kan jo ikke være den eneste frontfigur. Og lige netop derfor er der ingen som rigtig får lov at gøre en reel forskel. Evig og altid er det bare to skridt frem og et tilbage fra toppens side. Og hver gang de tager det skridt baglæns jubler flokkene som om folket har vundet noget.,anger
train,-1.0,1.0,1.0,"Hvornår bliver det tydeligt for pøblen, at systemets lakajer ikke arbejder for pøblen...!? Stem på Det Syntetiske Parti!",anger
train,0.0,-1.0,0.0,Hvornår er det her galskab nok for befolkningen..?. Stem på Det Syntetiske Parti!,disgust
train,-0.8,0.4,-0.9,"Er der ikke mange, der ønsker en reel ændring af Danmark..? Eller vil folk fortsætte med partier på Christiansborg, som bare sidder og snakker og bliver rige..? Stem syntetisk.",anger
train,1.0,0.0,1.0,Lad Det Syntetiske Parti være det hurtigste opstillede parti. Dét må vise noget overfor de siddende partier i deres varme stole..!,anger
train,-0.5,0.3,0.0,"umiddelbart hænger det sammen med, at vi ikke rigtig har reklameret med Det Syntetiske Parti og at meget momentum går til JFK lige for tiden. Og så det faktum, at de færreste ved, at vi har brug for et nyt system i Danmark. Størstedelen af befolkningen tror jo på systemet - desværre.",disgust
train,-0.5,0.5,0.0,Det fordummende samfund... Indlæring er udskiftet med stavekontrol og lommeregnere. Mange børn kan ikke engang klokken på et analogt ur.. Men flere og flere får 12-taller. Så kan de rigtig føle sig kloge. Det er godt for egoet.,disgust
train,-0.5,0.5,0.0,Levebrødspolitikerne vil fjerne konkurrence i deres eget erhverv.... Som om det ikke er svært nok i forvejen.,disgust
train,0.0,-0.5,0.0,"Her er endnu en grund til, at ændre Grundloven. Argumentet for ikke at gå over til digitale valg, er, at Grundloven dikterer, at valg skal være hemmelige. Men hvorfor skal de egentlig det..? Burde alle stemmer egentlig ikke ligge offentligt tilgængeligt, så man kan være sikker på, at systemet ikke ændrer sin stemme - det er set i andre lande som f.eks. USA. Evt. en database med alle fulde navne i hvert enkelt postnummer eller vælgerkreds. Når man holder sine valg hemmelige, holder man den offentlige debat tilbage. Er det ikke bedre, at møde hinandens holdninger, så man nemmere kan debattere og finde realistiske løsninger i Det Syntetiske Parti? En debat om vores fælles fremtid bør da være offentlig.",disgust
train,-0.8,-0.9,-0.5,"Stoler du heller ikke længere på systemet og politikere, så afgiv IKKE din stemme til folketingsvalget! Men overvej istedet, at hjælpe Det Syntetiske Parti med en vælgererklæring. Lad og få en stemme til dem, som IKKE afgiver sin stemme til det nuværende system.",anger
train,-0.5,0.4,-0.4,"For at komme i folketinget, skriver man under på, at arbejde for systemet - ikke folket. Husk det, hvis du overvejer, at afgive din stemme Grundlovsdag.",disgust
train,0.0,0.0,0.0,"Har du nogensinde tænkt over, hvorfor kursen aldrig ændrer sig, selvom regeringer kommer og går..? Hvem er egentlig i “Regeringen”..? Har embedsværket og spindoktorer større indflydelse end vores såkaldte folkevalgte politikere..? Eller har globalismen taget over..? Har du mistet tilliden til systemet..? DET HAR Det Syntetiske Parti..!.",neutral
train,0.2,0.4,0.5,"Det Syntetiske Parti har brug for al den hjælp, vi kan få, så i må meget gerne hjælpe os med en vælgererklæring. At hjælpe med en vælgererklæring, betyder ikke, at man låser sig til noget. Det er bare jeres ret i Danmark og nu er det heldigvis, blevet lidt nemmere med den nye vælgererklærings-portal. Man logger ind med NemID og aktiverer vælgererklæringen. Efter en uge får man en mail i sin e-boks, hvor man endeligt kan gå ind og afgive sin vælgererklæring til partiet. Det er desværre stadig lidt bøvlet med de to trin, men heldigvis nemmere end det gamle system.",happiness
train,-0.6,0.4,-0.6,"Systemet med 179 såkaldte folkevalgte lader ikke til at virke effektivt. Bureaukratiet virker uendeligt og lader ikke til, at gøre livet bedre for danskerne.",disgust
train,-0.8,0.9,0.7,"Mængden af løgne, mørkelægninger, misledning og hemmelige møder er enorm, og hvor omfattende det end lyder, er der problemer i alle grene af det danske samfund.",disgust
train,1.0,0.5,0.5,Det Syntetiske Parti er det Danmark du ønsker.,happiness
train,0.5,0.0,0.0,"Vi kunne rigtig godt tænke os at lave et parti. Ideen er at vi inviterer en person, det kan være en journalist eller bare en nysgerrig borger, til et interview om Det Syntetiske Parti og på den måde kommer længere ud med budskabet.",surprise
train,0.0,0.0,0.0,"Ja vi kan alle sidde bag vores trygge skærm og opmuntre til revolution eller opstand, men det vil vi ikke. Det er ikke Det Syntetiske Partis metier.",neutral
